order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,1,8,11.69,10
2,2,17,3,169.96,0
3,2,9,2,80.19,0
4,3,20,9,439.55,0
5,3,26,9,164.96,0
6,3,21,2,275.07,0
7,4,9,10,80.19,0
8,4,10,6,191.44,0
9,5,29,1,321.66,0
10,5,30,7,322.77,0
11,5,28,1,386.43,0
12,6,6,9,227.32,5
13,6,24,9,333.71,0
14,6,15,2,68.0,0
15,7,19,7,162.54,0
16,7,18,1,280.12,0
17,7,5,6,250.92,0
18,8,12,9,371.06,5
19,9,28,3,386.43,5
20,9,6,1,227.32,0
21,10,9,2,80.19,5
22,10,6,1,227.32,5
23,11,12,4,371.06,0
24,11,10,1,191.44,0
25,11,27,7,34.94,0
26,11,26,5,164.96,0
27,12,22,1,49.55,0
28,12,27,5,34.94,0
29,12,18,10,280.12,0
30,12,11,1,412.22,0
31,13,14,2,188.01,5
32,13,20,10,439.55,0
33,13,17,5,169.96,0
34,14,12,2,371.06,0
35,14,14,10,188.01,0
36,15,17,7,169.96,0
37,15,10,7,191.44,0
38,15,22,9,49.55,0
39,16,22,10,49.55,10
40,16,24,5,333.71,5
41,16,29,9,321.66,0
42,16,6,5,227.32,0
43,17,15,9,68.0,5
44,17,22,3,49.55,0
45,17,7,5,444.95,10
46,18,22,4,49.55,0
47,18,10,3,191.44,0
48,19,15,7,68.0,10
49,20,5,1,250.92,0
50,20,21,7,275.07,0
51,21,30,2,322.77,5
52,21,28,3,386.43,5
53,22,25,10,307.03,10
54,22,29,7,321.66,10
55,22,15,8,68.0,0
56,23,27,5,34.94,10
57,23,21,8,275.07,0
58,24,8,6,208.05,10
59,24,9,2,80.19,0
60,24,11,3,412.22,0
61,25,14,7,188.01,0
62,26,27,7,34.94,10
63,26,14,1,188.01,10
64,27,10,7,191.44,10
65,27,25,9,307.03,10
66,27,13,4,133.56,5
67,28,13,6,133.56,5
68,29,30,7,322.77,10
69,30,5,1,250.92,0
70,30,28,7,386.43,0
71,30,15,4,68.0,5
72,30,6,6,227.32,0
73,31,9,1,80.19,10
74,31,27,1,34.94,0
75,31,3,4,145.49,0
76,31,16,1,179.17,0
77,32,8,8,208.05,0
78,32,5,10,250.92,0
79,33,20,2,439.55,0
80,33,24,5,333.71,0
81,34,13,10,133.56,0
82,34,23,2,424.29,0
83,34,7,10,444.95,0
84,34,3,10,145.49,0
85,35,3,6,145.49,0
86,35,17,7,169.96,5
87,35,21,2,275.07,5
88,36,6,5,227.32,10
89,36,24,9,333.71,5
90,36,17,8,169.96,5
91,36,21,10,275.07,0
92,37,9,8,80.19,0
93,38,11,6,412.22,0
94,38,1,8,11.69,0
95,38,16,6,179.17,0
96,38,28,6,386.43,0
97,39,3,7,145.49,5
98,39,8,9,208.05,0
99,40,15,5,68.0,0
100,40,26,7,164.96,0
101,40,1,5,11.69,10
102,40,3,6,145.49,5
103,41,12,5,371.06,0
104,41,23,5,424.29,0
105,41,15,2,68.0,0
106,42,7,8,444.95,0
107,42,24,10,333.71,10
108,43,10,6,191.44,0
109,43,8,5,208.05,0
110,44,18,5,280.12,0
111,45,19,5,162.54,5
112,46,9,8,80.19,0
113,47,5,3,250.92,10
114,48,18,7,280.12,10
115,49,15,10,68.0,5
116,49,30,5,322.77,10
117,49,10,10,191.44,0
118,49,28,10,386.43,0
119,50,6,4,227.32,0
120,51,15,5,68.0,0
121,51,23,4,424.29,0
122,51,20,5,439.55,5
123,51,16,2,179.17,0
124,52,14,9,188.01,0
125,52,4,3,349.61,0
126,53,20,10,439.55,0
127,53,24,8,333.71,0
128,53,27,8,34.94,0
129,54,15,7,68.0,0
130,54,3,10,145.49,0
131,54,20,1,439.55,0
132,54,2,4,80.67,10
133,55,19,3,162.54,5
134,55,2,9,80.67,5
135,55,25,5,307.03,0
136,56,3,6,145.49,0
137,56,16,2,179.17,0
138,56,12,6,371.06,5
139,56,14,8,188.01,0
140,57,15,2,68.0,0
141,58,28,9,386.43,5
142,58,17,7,169.96,0
143,58,27,4,34.94,10
144,58,1,6,11.69,10
145,59,9,3,80.19,0
146,59,18,8,280.12,5
147,60,23,5,424.29,10
148,60,6,1,227.32,10
149,61,15,2,68.0,0
150,62,14,8,188.01,0
151,62,27,8,34.94,10
152,62,16,3,179.17,5
153,63,28,5,386.43,5
154,63,3,6,145.49,10
155,64,27,8,34.94,0
156,64,19,8,162.54,10
157,64,22,8,49.55,0
158,65,15,4,68.0,0
159,65,30,10,322.77,5
160,65,11,4,412.22,5
161,65,28,1,386.43,0
162,66,16,3,179.17,10
163,66,2,10,80.67,0
164,67,1,3,11.69,0
165,67,24,8,333.71,0
166,67,5,6,250.92,10
167,67,14,7,188.01,0
168,68,21,8,275.07,10
169,68,23,1,424.29,10
170,68,29,2,321.66,0
171,69,14,2,188.01,0
172,70,2,6,80.67,0
173,71,8,7,208.05,10
174,71,17,3,169.96,0
175,72,20,10,439.55,0
176,72,22,4,49.55,5
177,72,8,5,208.05,5
178,72,16,5,179.17,0
179,73,3,6,145.49,10
180,73,15,5,68.0,5
181,74,7,8,444.95,0
182,74,13,4,133.56,5
183,74,28,10,386.43,0
184,75,1,7,11.69,0
185,75,27,1,34.94,10
186,75,22,1,49.55,10
187,76,20,6,439.55,0
188,76,26,4,164.96,10
189,77,10,8,191.44,0
190,78,30,5,322.77,0
191,79,17,3,169.96,0
192,79,30,8,322.77,0
193,79,9,6,80.19,0
194,80,28,7,386.43,10
195,80,22,6,49.55,0
196,81,15,6,68.0,0
197,82,4,8,349.61,0
198,82,22,10,49.55,10
199,82,8,6,208.05,10
200,83,30,7,322.77,0
201,83,23,3,424.29,0
202,83,10,1,191.44,0
203,83,21,8,275.07,0
204,84,13,6,133.56,10
205,84,15,7,68.0,10
206,85,20,6,439.55,0
207,85,14,8,188.01,5
208,85,9,4,80.19,0
209,85,2,2,80.67,0
210,86,7,8,444.95,0
211,86,4,4,349.61,10
212,86,28,1,386.43,0
213,87,3,9,145.49,0
214,87,27,10,34.94,0
215,88,9,3,80.19,0
216,89,22,1,49.55,0
217,90,19,1,162.54,0
218,90,11,5,412.22,0
219,91,16,8,179.17,0
220,92,20,9,439.55,0
221,92,2,8,80.67,0
222,93,22,8,49.55,0
223,93,4,2,349.61,0
224,93,16,10,179.17,0
225,93,23,2,424.29,0
226,94,13,5,133.56,5
227,94,20,9,439.55,10
228,94,17,7,169.96,0
229,95,14,4,188.01,5
230,95,15,6,68.0,5
231,96,14,5,188.01,0
232,96,11,3,412.22,5
233,96,22,2,49.55,0
234,97,26,1,164.96,10
235,97,5,9,250.92,10
236,97,18,6,280.12,0
237,98,28,5,386.43,10
238,98,30,5,322.77,0
239,98,24,2,333.71,10
240,98,2,9,80.67,0
241,99,12,9,371.06,0
242,100,28,10,386.43,10
243,100,18,9,280.12,0
244,100,25,10,307.03,0
245,100,27,1,34.94,0
246,101,1,3,11.69,10
247,101,6,7,227.32,0
248,101,28,3,386.43,0
249,102,15,5,68.0,0
250,102,11,10,412.22,10
251,102,6,2,227.32,0
252,102,12,3,371.06,0
253,103,15,8,68.0,10
254,103,22,8,49.55,5
255,103,14,5,188.01,0
256,104,10,10,191.44,5
257,105,20,5,439.55,0
258,105,2,3,80.67,0
259,105,1,5,11.69,0
260,105,7,2,444.95,0
261,106,18,9,280.12,0
262,106,23,2,424.29,5
263,106,8,1,208.05,5
264,106,17,1,169.96,5
265,107,23,2,424.29,5
266,107,21,1,275.07,0
267,107,14,3,188.01,10
268,107,10,8,191.44,0
269,108,14,7,188.01,10
270,108,19,2,162.54,5
271,109,3,2,145.49,10
272,109,17,9,169.96,0
273,110,8,3,208.05,0
274,110,4,4,349.61,0
275,111,6,8,227.32,5
276,112,28,3,386.43,5
277,112,21,2,275.07,5
278,112,11,8,412.22,0
279,113,10,8,191.44,5
280,114,3,2,145.49,10
281,114,21,10,275.07,10
282,114,28,7,386.43,5
283,115,15,10,68.0,0
284,116,2,2,80.67,0
285,116,15,2,68.0,10
286,117,15,6,68.0,0
287,117,17,5,169.96,5
